3	gezondheid
6	begroting, loopbaan,buitenlandse zaken,ambassad, diversiteit ,student,weggebruiker,vervoer,verkeers,snelheidsbeperking,energie, verkiezings,verkiezing
8	discriminat,racisme,gelijke kansen,benoeming
9	arbeidsmarkt,arbeid,human resource, loon , acv ,gepensioneerd,ontwikkelingsland,mensenrechten, ngo ,discriminat,racisme, diversiteit ,minderheden,gelijke kansen,van vrouwen en mannen, gelijkheid ,etnisch,hogeschool,universit,leraar, arts ,gezondheid,rechter ,rechtbank,fedasil,migrat,asiel,tihange,sociale zekerheid,benoeming,referend
10	benoeming
13	hetzelfde geslacht,benoeming
14	racisme,gelijkekansen,multicult, gelijkheid ,vrije meningsuiting,politie ,parket,migrat,allochton,vreemdeling,benoeming
15	benoeming
16	econom,hernieuwba,benoeming,consument
17	gezondheid,sociale zekerheid,benoeming
18	herziening van de grondwet
19	onderwijs,politieambt,gevangen,strafzaken,rusthuizen,bejaardentehuizen,koning,monarchie,herziening van de grondwet,brandweer,referend,opkomstplicht,afschaffen van de senaat,ambtenar
23	staatsschuld,belasting,loonkost,werkloosheid,werkloosheid, armoede,staatshervorming,koning,monarchie,verkiezing
24	staatshervorming,grondwetswijziging
27	minderheid,militair,staatshervorming,monarchie,herziening van de grondwet,verkiezing,opkomstplicht
28	econom,import,internet
29	econom,formateur
30	econom,werkloosheid,werkloosheid,onderwijs, milieu,huisvesting, troepen,sociaal beleid,personen met een handicap,sociale zekerheid,staatshervorming,koning,federalis,verkiezing,overheidsdienst, banken
31	econom,ziekte,medici,medicijn,patient, moord,rechter ,verkeers,literatuur,sociale zekerheid,staatshervorming,koning,monarchie,herziening van de grondwet,federalis, bhv ,referend
32	econom,monarchie,federalis
33	 btw ,accijnzen,bediende,arbeid, afrika , angola , congo ,universit,defensie,benzine,diesel,staatshervorming,koning,monarchie,prins
35	 btw ,belasting,accijnzen,begroting,fiscaal, loon , verenigde staten ,buitenlandse missie, libie , centraal-afrikaanse republiek , mali , gelijkheid ,gevangen,militair,oorlog,defensie, troepen, leger, navo , verkiezings,koning,monarchie,verkiezing,prins,regeringsformatie,onderneming
36	 mali ,educat,import, ecologi,militair,energie
37	econom,industri, qatar , congo ,discriminat,euthanasie,formateur,federalis,referend
43	 amerika , verenigde staten ,buitenlandse zaken, tsjechie , afghanistan , spanje , libie , centraal-afrikaanse republiek ,militair,defensie,landsverdediging,koning,monarchie,herziening van de grondwet
44	 libie ,vertrouwensstemming
45	militair, troepen,herziening van de grondwet,verkiezing
48	 ecologi
49	 afghanistan ,militair,defensie,kernwapen,verkiezing
50	 laos ,radicalisme,import, leger,federalis
